iter	Logloss
0	0.6848112009
1	0.6763956202
2	0.667805787
3	0.6596198283
4	0.6530014709
5	0.6462089885
6	0.6396443751
7	0.633191491
8	0.626762196
9	0.6213263455
10	0.6163332386
11	0.6113193424
12	0.6075222537
13	0.603019611
14	0.598267842
15	0.5949152892
16	0.5906830209
17	0.5865221513
18	0.5823668618
19	0.5804295019
20	0.5763274769
21	0.5724827706
22	0.5687379932
23	0.5655504563
24	0.5626123588
25	0.5592903212
26	0.5564442414
27	0.553741316
28	0.5511509937
29	0.5487612445
30	0.546568701
31	0.5444812904
32	0.542813482
33	0.5406010788
34	0.5386522694
35	0.5365514453
36	0.5352706743
37	0.5336142773
38	0.5325037526
39	0.5310245542
40	0.5297384098
41	0.5281318027
42	0.5264888794
43	0.5251861545
44	0.523709866
45	0.5224757358
46	0.5209982767
47	0.5194134355
48	0.5184414701
49	0.5168904387
50	0.5156641064
51	0.5142505312
52	0.5132934606
53	0.5121981306
54	0.5111737802
55	0.510218815
56	0.5091481644
57	0.5080983189
58	0.5072307648
59	0.5062756994
60	0.5055933117
61	0.504688051
62	0.5036675566
63	0.5026180635
64	0.5017015165
65	0.5008607632
66	0.4999889594
67	0.4992271953
68	0.4983494653
69	0.4976137419
70	0.4968545408
71	0.4960389826
72	0.4956541496
73	0.494990011
74	0.4945574959
75	0.4939916369
76	0.4935013304
77	0.4929243996
78	0.4923475033
79	0.4916904039
80	0.4911260147
81	0.490571926
82	0.4901773111
83	0.4898088928
84	0.4893994557
85	0.4889480018
86	0.4886027912
87	0.4881195571
88	0.4876520722
89	0.4870625825
90	0.4867922164
91	0.4863329796
92	0.4861136402
93	0.4856654339
94	0.4851741589
95	0.4846788568
96	0.4843826153
97	0.4840583029
98	0.4839302877
99	0.4836870699
100	0.4833398763
101	0.4829238453
102	0.4825771206
103	0.4823445088
104	0.4820961991
105	0.4817122751
106	0.4815532114
107	0.4812105909
108	0.4808149466
109	0.4806702325
110	0.4804468194
111	0.4802041816
112	0.4798213563
113	0.4795980904
114	0.4795102248
115	0.4792680206
116	0.4790534322
117	0.4786355693
118	0.4783633417
119	0.4779958928
120	0.4776356021
121	0.4773393149
122	0.4771113261
123	0.4768626395
124	0.4766170311
125	0.4764216592
126	0.4762653406
127	0.47601553
128	0.4759542906
129	0.4757025042
130	0.4756315748
131	0.4756312758
132	0.475482639
133	0.4751866603
134	0.4749821756
135	0.4749423804
136	0.4748185259
137	0.4743921713
138	0.4743171089
139	0.4740555341
140	0.4738880008
141	0.4738635086
142	0.4738292923
143	0.4736427705
144	0.4734324403
145	0.4734320321
146	0.4731904863
147	0.4730524096
148	0.4728795266
149	0.4728251365
150	0.4726403282
151	0.4724863959
152	0.4723474492
153	0.4721319669
154	0.4717697647
155	0.4716808581
156	0.4715018958
157	0.4711791975
158	0.4710155406
159	0.4707691634
160	0.4704961037
161	0.4703423544
162	0.4700666402
163	0.4697358417
164	0.4693847463
165	0.4693348448
166	0.4691793118
167	0.469124297
168	0.4689803996
169	0.4687213379
170	0.468651507
171	0.4684892386
172	0.4684353548
173	0.4680841302
174	0.4680758224
175	0.4679247424
176	0.4677688434
177	0.4675230108
178	0.467358475
179	0.4672692936
180	0.4671079599
181	0.4670002706
182	0.4667963061
183	0.4666490005
184	0.4666244494
185	0.4664684163
186	0.4663914483
187	0.4662751519
188	0.4662573719
189	0.4662059235
190	0.4659983649
191	0.4658672439
192	0.4658669738
193	0.4658064337
194	0.465670344
195	0.4656438307
196	0.4654510608
197	0.465301138
198	0.4651430148
199	0.4650366426
200	0.4646789352
201	0.4644994789
202	0.4644582194
203	0.4641224149
204	0.4640446106
205	0.4638796906
206	0.4637878028
207	0.4636987188
208	0.4635665795
209	0.463500708
210	0.4633813244
211	0.4632479864
212	0.4632136561
213	0.4631064433
214	0.4630013716
215	0.4629042433
216	0.462771576
217	0.4627356462
218	0.4626075171
219	0.4626075142
220	0.4625399173
221	0.4623084979
222	0.4621372706
223	0.4620416461
224	0.4618966964
225	0.4618794025
226	0.4618631927
227	0.4617364139
228	0.4616345353
229	0.4614125294
230	0.4612327476
231	0.4609853591
232	0.4608248935
233	0.4606993067
234	0.4606405393
235	0.4604184409
236	0.4604027955
237	0.4602347935
238	0.4600138659
239	0.4599685864
240	0.4598577133
241	0.459787195
242	0.4597582251
243	0.459535559
244	0.4593925346
245	0.45912665
246	0.4590362279
247	0.4588615626
248	0.4588261015
249	0.4586945397
250	0.4585890557
251	0.4585773133
252	0.4585305776
253	0.4585232643
254	0.458491787
255	0.458439399
256	0.458313059
257	0.4582220125
258	0.4580386934
259	0.4577613728
260	0.4577316318
261	0.4576947678
262	0.4576609537
263	0.4574872646
264	0.4572873936
265	0.4571516343
266	0.4570596721
267	0.4569920748
268	0.4568650823
269	0.4568650733
270	0.4565552121
271	0.4564504931
272	0.4564225782
273	0.4564083161
274	0.4564083142
275	0.4564083141
276	0.4562232587
277	0.4561120767
278	0.4560292792
279	0.4560039974
280	0.4559378243
281	0.4558295068
282	0.4557382405
283	0.4555961523
284	0.455269831
285	0.454998456
286	0.4548631106
287	0.454852347
288	0.4547313309
289	0.4547232719
290	0.4546645391
291	0.4545746166
292	0.4544882233
293	0.4543329258
294	0.4540841299
295	0.4539165825
296	0.4538169112
297	0.453691637
298	0.4536716629
299	0.4536710595
300	0.453606455
301	0.4534787681
302	0.4534259785
303	0.4533225671
304	0.4532342189
305	0.4532095101
306	0.4530574692
307	0.4529327198
308	0.4527567035
309	0.4526254241
310	0.4525620571
311	0.4524636732
312	0.4523914347
313	0.4522436046
314	0.4521358941
315	0.4521261842
316	0.4520842056
317	0.4520841974
318	0.451853085
319	0.451788853
320	0.4516648141
321	0.451605174
322	0.4515278597
323	0.4514741451
324	0.4513267421
325	0.4512519407
326	0.4512471619
327	0.451210134
328	0.4512044266
329	0.4510138969
330	0.4510060998
331	0.450991476
332	0.4509914758
333	0.4509232227
334	0.4507492559
335	0.4506925294
336	0.4506916316
337	0.450669461
338	0.4505802585
339	0.4503623424
340	0.4502498579
341	0.449997512
342	0.449981213
343	0.4498925272
344	0.4498660439
345	0.4496896418
346	0.4496145702
347	0.4494794934
348	0.449479493
349	0.4494726679
350	0.4494491287
351	0.4494439581
352	0.4494030869
353	0.4492788364
354	0.4492788333
355	0.4492521884
356	0.4490042435
357	0.448930211
358	0.4488429833
359	0.4486865619
360	0.448532656
361	0.448431071
362	0.4482779169
363	0.4480498171
364	0.4479589614
365	0.4478794429
366	0.4478031928
367	0.4476853423
368	0.4476258108
369	0.447611235
370	0.4475644369
371	0.4472228567
372	0.447204276
373	0.4472042755
374	0.4470875602
375	0.4470183926
376	0.4469539983
377	0.4467502475
378	0.4466187647
379	0.4464638584
380	0.4462781511
381	0.4461748205
382	0.4461431453
383	0.4460731314
384	0.445906063
385	0.4458913916
386	0.4457294758
387	0.4455703182
388	0.4455092176
389	0.4455086477
390	0.445474968
391	0.4452936898
392	0.4451725573
393	0.4450743825
394	0.4448126872
395	0.444812687
396	0.4447039294
397	0.4446486978
398	0.4445834487
399	0.444534973
400	0.4445076757
401	0.4444170369
402	0.4443713672
403	0.4443324047
404	0.4442101905
405	0.4440688666
406	0.4438772503
407	0.4438202761
408	0.4437281893
409	0.4435442502
410	0.4434169961
411	0.4432545437
412	0.443044204
413	0.4430442031
414	0.4428961784
415	0.4427354577
416	0.4427346615
417	0.4427153698
418	0.4425626911
419	0.4425621927
420	0.4424077358
421	0.442245748
422	0.4420684516
423	0.4420371514
424	0.4417750819
425	0.4413894314
426	0.4412322923
427	0.4411137021
428	0.4411136954
429	0.4408870942
430	0.4406688365
431	0.4404007462
432	0.4402024617
433	0.4400257933
434	0.43991186
435	0.4396813882
436	0.4394847635
437	0.4394344039
438	0.4393082481
439	0.4392575802
440	0.4391669672
441	0.4390281868
442	0.4390029627
443	0.4389311491
444	0.4387096589
445	0.4386230666
446	0.4384188049
447	0.4383049887
448	0.4382779103
449	0.4382008656
450	0.4380216715
451	0.4379673712
452	0.4377308342
453	0.4376666866
454	0.4375722572
455	0.4375117969
456	0.4374162903
457	0.4373835757
458	0.4372670864
459	0.4372664054
460	0.4371266817
461	0.4369594616
462	0.4368196689
463	0.4365757888
464	0.4363743852
465	0.4361873159
466	0.4361232236
467	0.4360246281
468	0.4358617295
469	0.4357694041
470	0.4355205807
471	0.4353683199
472	0.4352459293
473	0.4351038201
474	0.4350631663
475	0.4348429358
476	0.4347873385
477	0.4345832733
478	0.4345668744
479	0.4345019318
480	0.4343974459
481	0.4342085629
482	0.4340083375
483	0.4338330193
484	0.4336805987
