iter	Passed	Remaining
0	18	18626
1	27	13517
2	39	12980
3	49	12286
4	55	11134
5	60	9967
6	67	9590
7	74	9198
8	79	8795
9	86	8569
10	96	8657
11	105	8698
12	110	8353
13	118	8373
14	128	8446
15	132	8169
16	137	7969
17	142	7774
18	149	7710
19	152	7467
20	156	7308
21	162	7211
22	167	7097
23	171	6987
24	177	6916
25	183	6864
26	188	6792
27	194	6742
28	199	6686
29	205	6641
30	210	6566
31	214	6492
32	218	6410
33	223	6362
34	228	6309
35	233	6261
36	238	6195
37	244	6199
38	248	6117
39	254	6106
40	260	6083
41	264	6039
42	269	6008
43	275	5993
44	280	5962
45	285	5925
46	291	5913
47	296	5885
48	302	5875
49	308	5855
50	312	5824
51	319	5820
52	325	5819
53	331	5801
54	337	5792
55	343	5791
56	349	5777
57	354	5754
58	358	5719
59	364	5702
60	367	5661
61	375	5686
62	387	5760
63	399	5843
64	405	5836
65	411	5822
66	417	5811
67	423	5803
68	429	5789
69	434	5769
70	442	5796
71	449	5789
72	454	5776
73	459	5751
74	464	5732
75	471	5729
76	476	5713
77	481	5696
78	487	5684
79	493	5672
80	498	5656
81	504	5648
82	511	5648
83	516	5630
84	522	5625
85	528	5613
86	533	5599
87	540	5606
88	546	5596
89	553	5598
90	558	5582
91	564	5572
92	569	5556
93	576	5560
94	582	5546
95	590	5560
96	596	5552
97	606	5582
98	611	5567
99	619	5573
100	635	5655
101	641	5652
102	647	5636
103	653	5634
104	658	5615
105	666	5618
106	671	5607
107	678	5600
108	684	5592
109	688	5566
110	692	5550
111	697	5532
112	704	5526
113	712	5538
114	717	5523
115	722	5506
116	727	5492
117	735	5500
118	741	5493
119	749	5495
120	754	5479
121	766	5518
122	777	5545
123	786	5557
124	793	5557
125	806	5590
126	816	5611
127	826	5627
128	835	5643
129	846	5667
130	851	5651
131	857	5641
132	867	5656
133	877	5670
134	888	5694
135	897	5704
136	916	5773
137	926	5785
138	932	5777
139	941	5785
140	961	5856
141	976	5898
142	986	5911
143	996	5922
144	1008	5947
145	1016	5944
146	1031	5987
147	1044	6010
148	1051	6004
149	1056	5985
150	1062	5976
151	1076	6005
152	1093	6053
153	1104	6066
154	1114	6076
155	1119	6059
156	1125	6042
157	1132	6035
158	1137	6018
159	1146	6019
160	1152	6004
161	1156	5984
162	1162	5969
163	1169	5959
164	1174	5943
165	1182	5942
166	1187	5924
167	1191	5900
168	1197	5889
169	1202	5872
170	1206	5850
171	1214	5844
172	1218	5824
173	1223	5809
174	1227	5787
175	1233	5774
176	1237	5755
177	1246	5754
178	1251	5738
179	1256	5722
180	1263	5718
181	1268	5701
182	1274	5689
183	1280	5680
184	1285	5661
185	1292	5658
186	1298	5646
187	1303	5631
188	1308	5616
189	1313	5598
190	1319	5586
191	1327	5588
192	1330	5563
193	1334	5545
194	1341	5538
195	1348	5530
196	1358	5535
197	1363	5524
198	1369	5513
199	1377	5509
200	1383	5499
201	1389	5490
202	1396	5481
203	1400	5464
204	1405	5449
205	1411	5439
206	1415	5421
207	1419	5405
208	1425	5395
209	1431	5383
210	1435	5368
211	1440	5354
212	1445	5341
213	1450	5326
214	1455	5312
215	1460	5302
216	1465	5289
217	1470	5274
218	1476	5266
219	1479	5245
220	1484	5230
221	1491	5225
222	1497	5216
223	1502	5204
224	1508	5197
225	1511	5178
226	1516	5164
227	1522	5155
228	1528	5145
229	1534	5136
230	1540	5128
231	1546	5117
232	1551	5106
233	1561	5111
234	1567	5102
235	1577	5106
236	1582	5094
237	1588	5087
238	1594	5076
239	1599	5064
240	1605	5057
241	1610	5044
242	1614	5028
243	1620	5021
244	1626	5011
245	1631	5001
246	1637	4993
247	1643	4983
248	1648	4971
249	1655	4965
250	1660	4954
251	1663	4937
252	1668	4927
253	1672	4912
254	1677	4900
255	1682	4889
256	1689	4883
257	1694	4872
258	1700	4866
259	1705	4855
260	1710	4844
261	1715	4831
262	1720	4821
263	1725	4810
264	1731	4802
265	1739	4800
266	1744	4789
267	1751	4783
268	1756	4774
269	1759	4758
270	1764	4747
271	1771	4740
272	1775	4729
273	1779	4713
274	1782	4699
275	1785	4683
